nombre pH conductividad turbidez coliformes
Fuente_1 6 148 2 1 
Fuente_2 8.12 263 0 3
Fuente_3 7.14 200 0 0
Fuente_4 7.86 235 3 0
Fuente_5 7.11 169 0 0
Fuente_6 7.33 124 0 1
Fuente_7 6.69 258 0 0
Fuente_8 6.99 163 3 0
Fuente_9 7.26 100 6 0
Fuente_10 7.56 206 0 0
Fuente_11 6.84 148 0 0
Fuente_12 6.25 104 1 1
Fuente_13 8.15 202 2 2
Fuente_14 6.03 158 0 0
Fuente_15 7.25 196 1 1
Fuente_16 6.36 114 1 0
Fuente_17 7.14 212 0 0
Fuente_18 8.01 158 0 2
Fuente_19 7.45 203 0 1
Fuente_20 5.96 267 3 0
Fuente_21 6.03 164 0 1
Fuente_22 7.82 123 0 0
